score,url,durationMs
,http://localhost:3000/robots.txt,5839
63,http://localhost:3000/book-consultation,11076
78,http://localhost:3000/case-studies/cloud-migration-manufacturing,11390
75,http://localhost:3000/case-studies/datacenter-relocation-colo-to-colo,11327
77,http://localhost:3000/case-studies/itad-tokyo-kobe-consolidation,11140
78,http://localhost:3000/case-studies/managed-it-services-cpg-tokyo,11269
76,http://localhost:3000/case-studies/nationwide-wifi-30-offices,11472
78,http://localhost:3000/case-studies/pentest-fintech-tokyo,11206
77,http://localhost:3000/case-studies/rack-buildout-9racks-campus,11271
75,http://localhost:3000/case-studies/sdwan-insurance-30-sites-japan,11153
78,http://localhost:3000/case-studies/wifi-assessment-retail-tokyo,11106
64,http://localhost:3000/case-studies,11553
74,http://localhost:3000/about,11166
80,http://localhost:3000/cookies,11193
79,http://localhost:3000/fortitude-demo,10864
79,http://localhost:3000/privacy,11013
77,http://localhost:3000/,11104
75,http://localhost:3000/services/cybersecurity,11517
74,http://localhost:3000/services/it-managed-services-v2,11358
76,http://localhost:3000/services/it-consulting-project-management,11024
75,http://localhost:3000/services/it-managed-services,11644
79,http://localhost:3000/book-reservation,11100
74,http://localhost:3000/services,11773
74,http://localhost:3000/services/cloud-infrastructure,11522
75,http://localhost:3000/services/wifi-design,11052
75,http://localhost:3000/services/wifi-assessment,11289
77,http://localhost:3000/services/it-security,10965
77,http://localhost:3000/ja/about,11240
74,http://localhost:3000/terms,11514
73,http://localhost:3000/contact,13111
72,http://localhost:3000/ja/contact,11409
79,http://localhost:3000/ja/cookies,11377
76,http://localhost:3000/blog,11514
74,http://localhost:3000/ja/privacy,11242
76,http://localhost:3000/ja,11255
75,http://localhost:3000/services/network-penetration-testing,13567
73,http://localhost:3000/ja/contact-form,11402
76,http://localhost:3000/ja/services/cybersecurity,11436
74,http://localhost:3000/ja/services/it-managed-services,11487
75,http://localhost:3000/ja/services/network-penetration-testing,11240
76,http://localhost:3000/ja/services/it-security,11405
78,http://localhost:3000/ja/services/itad-japan-apac-us,11162
61,http://localhost:3000/ja/services,11649
77,http://localhost:3000/ja/services/wifi-design,11501
77,http://localhost:3000/ja/case-studies/cloud-migration-manufacturing,11094
78,http://localhost:3000/ja/case-studies/datacenter-relocation-colo-to-colo,11476
77,http://localhost:3000/ja/case-studies/itad-tokyo-kobe-consolidation,11336
77,http://localhost:3000/ja/case-studies/managed-it-services-cpg-tokyo,11165
77,http://localhost:3000/ja/case-studies/nationwide-wifi-30-offices,11305
77,http://localhost:3000/ja/case-studies/pentest-fintech-tokyo,11437
77,http://localhost:3000/ja/case-studies/rack-buildout-9racks-campus,11410
77,http://localhost:3000/ja/case-studies/sdwan-insurance-30-sites-japan,11317
78,http://localhost:3000/ja/case-studies/wifi-assessment-retail-tokyo,11304
79,http://localhost:3000/ja/terms,11321
78,http://localhost:3000/ja/services/wifi-assessment,11305
75,http://localhost:3000/ja/case-studies,11436
76,http://localhost:3000/ja/services/it-consulting-project-management,12255
74,http://localhost:3000/ja/book-consultation,11440
77,http://localhost:3000/ja/services/cloud-infrastructure,12128
75,http://localhost:3000/blog/5g-impact-business-operations,11186
75,http://localhost:3000/blog/ai-transforming-it-support,11539
75,http://localhost:3000/blog/cloud-migration-success-stories,11026
77,http://localhost:3000/blog/cybersecurity-best-practices-2025,11184
75,http://localhost:3000/blog/future-of-it-infrastructure-japan,11415
75,http://localhost:3000/blog/phishing-prevention-guide-2025,11401
75,http://localhost:3000/blog/remote-work-security-guide,11148
75,http://localhost:3000/ja/blog/5g-impact-business-operations,11430
75,http://localhost:3000/ja/blog/ai-transforming-it-support,11080
75,http://localhost:3000/ja/blog/cloud-migration-success-stories,11335
77,http://localhost:3000/ja/blog/cybersecurity-best-practices-2025,11432
75,http://localhost:3000/ja/blog/future-of-it-infrastructure-japan,11669
75,http://localhost:3000/ja/blog/phishing-prevention-guide-2025,11363
75,http://localhost:3000/ja/blog/remote-work-security-guide,11092
79,http://localhost:3000/services/itad-japan-apac-us,11238
76,http://localhost:3000/ja/blog,11538
73,http://localhost:3000/contact-form,11346